Team,Nationality,Position,Age,Potential,Name
Goiás ,Brazil,Lateral Izquierdo | Mediocampista Izquierdo,28,Bueno,Silas Almeim
Cruzeiro ,Brazil,Arquero,24,Bueno,Simão Donatinho
Levante UD ,Spain,Carrilero Derecho | Lateral Derecho | Extremo Derecho,31,Bueno,Jorge Miramón
1. FSV Mainz 05 ,Austria,Delantero Centro | Mediocampista Derecho,28,Bueno,Karim Onisiwo
Daegu FC ,Brazil,Delantero Centro | Mediocampista Ofensivo | Extremo Izquierdo,30,Bueno,Cesinha
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,31,Bueno,Constantin Budescu
Vélez Sarsfield ,Argentina,Arquero,31,Bueno,Lucas Hoyos
AEK Athens ,Portugal,Mediocampista Defensivo | Mediocampista,30,Bueno,André Simões
Nîmes Olympique ,Algeria,Mediocampista Derecho,27,Bueno,Zinedine Ferhat
Nottingham Forest ,England,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,27,Bueno,Joe Lolley
FC Dallas ,Colombia,Delantero Centro | Mediocampista Derecho | Extremo Derecho,29,Bueno,Michael Barrios
Dynamo Kyiv ,Ukraine,Mediocampista Defensivo | Mediocampista,29,Bueno,Serhiy Sydorchuk
Toulouse Football Club ,Croatia,Arquero,30,Bueno,Lovre Kalinic
San Lorenzo de Almagro ,Paraguay,Delantero Centro | Mediocampista Izquierdo | Extremo Derecho,28,Bueno,Ángel Romero
Club Brugge KV ,Senegal,Delantero Centro,28,Bueno,Mbaye Diagne
América de Cali ,Argentina,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,28,Bueno,Matías Pisano
Club Olimpia ,Uruguay,Mediocampista Derecho | Extremo Derecho,30,Bueno,Alejandro Silva
Dinamo Zagreb ,North Macedonia,Mediocampista Defensivo | Mediocampista,29,Bueno,Arijan Ademi
FC Girondins de Bordeaux ,Senegal,Lateral Derecho | Lateral Izquierdo | Mediocampista Derecho,27,Bueno,Youssouf Sabaly
Fenerbahçe SK ,Turkey,Mediocampista Derecho,27,Bueno,Deniz Türüç
Getafe CF ,Brazil,Delantero Centro,29,Bueno,Deyverson
CD Leganés ,Argentina,Delantero Centro,29,Bueno,Guido Carrillo
Newell's Old Boys ,Argentina,Defensor Central,30,Bueno,Cristian Lema
Defensa y Justicia ,Argentina,Mediocampista Derecho | Mediocampista Ofensivo | Mediapunta,30,Bueno,Rubén Botta
Rosario Central ,Argentina,Mediocampista Derecho | Extremo Derecho,31,Bueno,Ciro Rius
Boca Juniors ,Argentina,Lateral Derecho,31,Bueno,Julio Buffarini
Newell's Old Boys ,Argentina,Mediocampista Defensivo | Mediocampista,34,Bueno,Pablo Pérez
Santos Laguna ,Argentina,Delantero Centro,31,Bueno,Julio Furch
Colón de Santa Fe ,Argentina,Defensor Central,31,Bueno,Bruno Bianchi
Colo-Colo ,Chile,Lateral Derecho | Lateral Izquierdo,29,Bueno,Óscar Opazo
Pachuca ,Peru,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,28,Bueno,Christian Cueva
Levante UD ,Spain,Defensor Central,31,Bueno,Postigo
Amiens SC ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,28,Bueno,Stiven Mendoza
Tigres U.A.N.L. ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Luis Quiñones
América de Cali ,Colombia,Delantero Centro,29,Bueno,Michael Rangel
Granada CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,28,Bueno,Puertas
RCD Espanyol ,Argentina,Delantero Centro,29,Bueno,Facundo Ferreyra
KAA Gent ,Belgium,Delantero Centro,31,Bueno,Laurent Depoitre
Monterrey ,Argentina,Lateral Izquierdo,33,Bueno,Leonel Vangioni
Hellas Verona ,Serbia,Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Darko Lazovic
Chicago Fire Soccer Club ,Slovenia,Delantero Centro,29,Bueno,Robert Beric
Boca Juniors ,Argentina,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,28,Bueno,Guillermo Fernández
Columbus Crew SC ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,32,Bueno,Pedro Santos
Guangzhou Evergrande Taobao FC ,Brazil,Mediapunta | Extremo Derecho | Extremo Izquierdo,27,Bueno,Fernandinho
Vitória Guimarães ,Portugal,Mediocampista Ofensivo | Extremo Izquierdo,27,Bueno,João Teixeira
CD Leganés ,Argentina,Mediocampista Izquierdo,31,Bueno,Alexander Szymanowski
Independiente del Valle ,Argentina,Mediocampista Defensivo | Mediocampista,38,Bueno,Cristian Pellerano
Alanyaspor ,Chile,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,31,Bueno,Júnior Fernandes
Angers SCO ,France,Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista,33,Bueno,Pierrick Capelle
Racing Club ,Chile,Lateral Izquierdo,32,Bueno,Eugenio Mena
R. Valladolid CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,29,Bueno,Óscar Plano
AEK Athens ,Greece,Mediocampista Izquierdo | Mediocampista Ofensivo,28,Bueno,Petros Mantalos
Çaykur Rizespor ,Ukraine,Mediocampista | Mediocampista Ofensivo,30,Bueno,Denys Garmash
Sassuolo ,Romania,Defensor Central,30,Bueno,Vlad Chiriche?
Newcastle United ,England,Delantero Centro | Extremo Izquierdo,29,Bueno,Dwight Gayle
Olympiacos CFP ,Algeria,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,32,Bueno,Hillal Soudani
Free Agents ,Canada,Arquero,32,Bueno,Milan Borjan
Levante UD ,Spain,Lateral Izquierdo | Mediocampista Izquierdo,30,Bueno,Toño García
RSC Anderlecht ,France,Mediocampista Defensivo | Mediocampista,29,Bueno,Adrien Trebel
Argentinos Juniors ,Argentina,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,33,Bueno,Gabriel Hauche
Sporting Kansas City ,Chile,Mediocampista Defensivo | Mediocampista,29,Bueno,Felipe Gutiérrez
Olympique de Marseille ,France,Delantero Centro,30,Bueno,Valère Germain
Portland Timbers ,Colombia,Mediocampista Defensivo | Mediocampista,34,Bueno,Diego Chará
Gallos Blancos de Querétaro ,Colombia,Delantero Centro | Mediocampista Izquierdo,28,Bueno,Fabián Castillo
Besiktas JK ,Mali,Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Abdoulay Diaby
Southampton ,Scotland,Mediocampista Derecho | Mediocampista,28,Bueno,Stuart Armstrong
VfL Wolfsburg ,Germany,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,27,Bueno,Felix Klaus
Columbus Crew SC ,United States,Mediocampista Defensivo | Mediocampista,30,Bueno,Darlington Nagbe
Parma ,Slovenia,Mediocampista | Mediocampista Ofensivo,31,Bueno,Jasmin Kurtic
Sport-Club Freiburg ,France,Carrilero Derecho | Lateral Derecho | Mediocampista Derecho | Extremo Derecho,30,Bueno,Jonathan Schmid
CD Leganés ,Spain,Mediocampista Defensivo | Mediocampista,29,Bueno,Recio
FC København ,Denmark,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,28,Bueno,Rasmus Falk
Arsenal ,Portugal,Lateral Derecho,28,Bueno,Cédric
FC Girondins de Bordeaux ,France,Mediapunta | Extremo Izquierdo,29,Bueno,Nicolas De Préville
Club Necaxa ,Argentina,Delantero Centro,30,Bueno,Mauro Quiroga
Roma ,Brazil,Lateral Izquierdo | Defensor Central,29,Bueno,Juan Jesus
Shakhtar Donetsk ,Ukraine,Mediocampista Izquierdo | Mediocampista Ofensivo | Extremo Izquierdo,30,Bueno,Yevhen Konoplyanka
Burnley ,Republic of Ireland,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,28,Bueno,Jeff Hendrick
Trabzonspor ,Brazil,Mediocampista Derecho | Mediocampista Ofensivo,29,Bueno,Guilherme
Feyenoord ,Denmark,Delantero Centro,29,Bueno,Nicolai Jørgensen
Malmö FF ,Denmark,Mediocampista Defensivo | Mediocampista,30,Bueno,Anders Christiansen
New York Red Bulls ,Austria,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,30,Bueno,Daniel Royer
Burnley ,England,Lateral Derecho,31,Bueno,Matthew Lowton
Hannover 96 ,Sweden,Delantero Centro,28,Bueno,John Guidetti
Parma ,Italy,Delantero Centro,28,Bueno,Roberto Inglese
AZ ,Netherlands,Mediocampista Defensivo | Mediocampista,29,Bueno,Jordy Clasie
Stade Brestois 29 ,France,Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Yoann Court
Vitesse ,Netherlands,Delantero Centro | Mediocampista Izquierdo,29,Bueno,Bryan Linssen
FC Porto ,Cameroon,Delantero Centro,28,Bueno,Vincent Aboubakar
Leicester City ,France,Mediocampista Defensivo | Mediocampista,28,Bueno,Nampalys Mendy
Impact Montréal ,Algeria,Mediocampista Defensivo | Mediocampista | Extremo Izquierdo,28,Bueno,Saphir Taïder
Levante UD ,Spain,Delantero Centro,31,Bueno,Sergio León
CA Osasuna ,Spain,Defensor Central,32,Bueno,Raúl Navas
Pachuca ,Colombia,Defensor Central,32,Bueno,Óscar Murillo
Pachuca ,Argentina,Delantero Centro,32,Bueno,Franco Jara
D. Alavés ,Spain,Lateral Derecho | Defensor Central,30,Bueno,Ximo Navarro
Feyenoord ,Netherlands,Mediocampista | Mediocampista Ofensivo,31,Bueno,Jens Toornstra
CA Osasuna ,Spain,Lateral Izquierdo | Mediocampista Defensivo | Mediocampista,32,Bueno,Iñigo Pérez
Universidad Católica ,Chile,Lateral Derecho | Mediocampista Derecho | Extremo Derecho,35,Bueno,José Pedro Fuenzalida
RCD Espanyol ,Spain,Lateral Derecho | Lateral Izquierdo,34,Bueno,Javi López
Hellas Verona ,Italy,Lateral Derecho | Mediocampista Derecho,28,Bueno,Marco Davide Faraoni
Sydney FC ,Serbia,Mediocampista Izquierdo | Mediocampista Ofensivo,35,Bueno,Miloš Ninkovic
Watford ,England,Defensor Central,30,Bueno,Craig Dawson
Watford ,England,Delantero Centro,29,Bueno,Andre Gray
FC Seoul ,Spain,Defensor Central | Mediocampista Defensivo | Mediocampista,32,Bueno,Osmar
Getafe CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Portillo
Brescia ,Italy,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,33,Bueno,Rômulo
FC Schalke 04 ,Austria,Delantero Centro,31,Bueno,Guido Burgstaller
SV Werder Bremen ,Germany,Mediocampista Defensivo,31,Bueno,Philipp Bargfrede
Getafe CF ,Cameroon,Lateral Derecho | Lateral Izquierdo | Mediocampista Derecho,32,Bueno,Allan Nyom
VfB Stuttgart ,Germany,Defensor Central,31,Bueno,Holger Badstuber
Udinese ,Bosnia & Herzegovina,Mediocampista Defensivo | Mediocampista,32,Bueno,Mato Jajalo
Cagliari ,Moldova,Mediocampista | Mediocampista Ofensivo,29,Bueno,Artur Ioni?a
Hellas Verona ,Ghana,Mediocampista Defensivo | Mediocampista,29,Bueno,Emmanuel Badu
1. FC Union Berlin ,Turkey,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,28,Bueno,Yunus Malli
Hertha BSC ,Germany,Lateral Izquierdo,28,Bueno,Marvin Plattenhardt
Tigres U.A.N.L. ,Mexico,Mediocampista Izquierdo,30,Bueno,Javier Aquino
Shanghai Greenland Shenhua FC ,Korea Republic,Delantero Centro,32,Bueno,Kim Shin Wook
Fortuna Düsseldorf ,Kosovo,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,27,Bueno,Valon Berisha
SV Werder Bremen ,Japan,Delantero Centro | Mediocampista Ofensivo | Mediapunta,30,Bueno,Yuya Osako
Barcelona Guayaquil ,Ecuador,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Fidel Martínez
RCD Mallorca ,Ivory Coast,Delantero Centro | Mediocampista Izquierdo,29,Bueno,Lago Júnior
RCD Espanyol ,Spain,Lateral Izquierdo,31,Bueno,Dídac Vilà
Minnesota United FC ,Cuba,Mediocampista Defensivo | Mediocampista,34,Bueno,Osvaldo Alonso
AFC Bournemouth ,England,Lateral Derecho | Lateral Izquierdo,29,Bueno,Adam Smith
Dinamo Zagreb ,France,Lateral Derecho | Defensor Central,30,Bueno,Kévin Théophile-Catherine
Olympiacos CFP ,Norway,Lateral Derecho,28,Bueno,Omar Elabdellaoui
Sport-Club Freiburg ,Germany,Defensor Central,29,Bueno,Manuel Gulde
Seattle Sounders FC ,United States,Arquero,34,Bueno,Stefan Frei
Minnesota United FC ,United States,Defensor Central,31,Bueno,Ike Opara
CD Leganés ,Spain,Mediocampista Defensivo | Mediocampista,31,Bueno,Rubén Pérez
Al Ittihad ,Ivory Coast,Delantero Centro,31,Bueno,Wilfried Bony
SD Eibar ,Spain,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Quique
Lokomotiv Moscow ,Portugal,Delantero Centro,32,Bueno,Éder
SG Dynamo Dresden ,Czech Republic,Mediocampista | Mediocampista Ofensivo,30,Bueno,Josef Hušbauer
Roma ,Italy,Lateral Derecho | Lateral Izquierdo,29,Bueno,Davide Santon
1. FSV Mainz 05 ,Germany,Mediocampista Defensivo | Mediocampista,30,Bueno,Danny Latza
FC Schalke 04 ,Germany,Lateral Izquierdo | Defensor Central,31,Bueno,Bastian Oczipka
Melbourne City ,Spain,Extremo Derecho | Extremo Izquierdo,32,Bueno,Susaeta
Moreirense FC ,Portugal,Lateral Derecho,31,Bueno,João Aurélio
Elche CF ,Brazil,Delantero Centro,31,Bueno,Jonathas
Sporting CP ,DR Congo,Extremo Derecho | Extremo Izquierdo,31,Bueno,Yannick Bolasie
Columbus Crew SC ,Curacao,Arquero,31,Bueno,Eloy Room
1. FSV Mainz 05 ,Germany,Lateral Derecho | Lateral Izquierdo,32,Bueno,Daniel Brosinski
R. Zaragoza ,Argentina,Arquero,34,Bueno,Cristian Álvarez
Al Shabab ,Senegal,Mediocampista Defensivo | Mediocampista,30,Bueno,Alfred N'Diaye
SC Braga ,Portugal,Carrilero Derecho | Extremo Derecho,30,Bueno,Diogo Viana
Colón de Santa Fe ,Argentina,Delantero Centro,33,Bueno,Lucas Viatri
West Bromwich Albion ,Scotland,Mediocampista Derecho | Extremo Derecho,29,Bueno,Matt Phillips
Stade Rennais FC ,France,Mediocampista | Mediocampista Ofensivo,29,Bueno,Clément Grenier
Fenerbahçe SK ,Chile,Lateral Derecho,32,Bueno,Mauricio Isla
PAOK ,Morocco,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,29,Bueno,Omar El Kaddouri
Pachuca ,Mexico,Mediocampista Defensivo | Mediocampista,31,Bueno,Jorge Hernández
Club Atlético Talleres ,Colombia,Delantero Centro,34,Bueno,Dayro Moreno
RCD Espanyol ,Colombia,Defensor Central,31,Bueno,Bernardo Espinosa
Club Nacional de Football ,Uruguay,Delantero Centro | Mediocampista Derecho | Mediocampista Ofensivo,35,Bueno,Sebastián Fernández
Newcastle United ,Scotland,Carrilero Izquierdo | Mediocampista Derecho | Extremo Izquierdo,30,Bueno,Matt Ritchie
Crystal Palace ,England,Lateral Derecho,30,Bueno,Joel Ward
Feyenoord ,Netherlands,Mediocampista Defensivo,30,Bueno,Leroy Fer
Watford ,England,Delantero Centro | Extremo Izquierdo,29,Bueno,Danny Welbeck
Aston Villa ,England,Mediocampista,30,Bueno,Danny Drinkwater
PAOK ,Slovakia,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,30,Bueno,Miroslav Stoch
Club León ,Mexico,Arquero,33,Bueno,Rodolfo Cota
Club León ,Mexico,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,34,Bueno,Luis Montes
Monterrey ,Argentina,Defensor Central,34,Bueno,Nicolás Sánchez
Parma ,Italy,Lateral Derecho | Lateral Izquierdo,30,Bueno,Matteo Darmian
Sheffield United ,England,Defensor Central,32,Bueno,Chris Basham
Standard de Liège ,Morocco,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,31,Bueno,Mehdi Carcela-González
RC Strasbourg Alsace ,Ivory Coast,Defensor Central,31,Bueno,Lamine Koné
Western Sydney Wanderers ,Germany,Mediocampista Derecho | Mediocampista Ofensivo,32,Bueno,Nicolai Müller
D. Alavés ,Spain,Arquero,34,Bueno,Roberto
Paris Saint-Germain ,Cameroon,Delantero Centro | Extremo Izquierdo,31,Bueno,Eric Maxim Choupo-Moting
CA Osasuna ,Spain,Mediocampista Defensivo | Mediocampista,30,Bueno,Fran Mérida
PSV ,Greece,Delantero Centro,32,Bueno,Konstantinos Mitroglou
Gençlerbirligi SK ,Ivory Coast,Delantero Centro | Mediocampista Derecho,31,Bueno,Giovanni Sio
Granada CF ,Spain,Lateral Derecho,32,Bueno,Víctor Díaz
Newcastle United ,England,Delantero Centro,31,Bueno,Andy Carroll
Watford ,Greece,Lateral Izquierdo,36,Bueno,Jose Holebas
Medipol Basaksehir FK ,Turkey,Defensor Central | Mediocampista Defensivo | Mediocampista,32,Bueno,Mahmut Tekdemir
Udinese ,France,Defensor Central,33,Bueno,Sebastian De Maio
Inter ,Italy,Defensor Central,32,Bueno,Andrea Ranocchia
Medipol Basaksehir FK ,Moldova,Defensor Central,33,Bueno,Alexandru Epureanu
KRC Genk ,Australia,Arquero,35,Bueno,Danny Vukovic
SK Slavia Praha ,Czech Republic,Defensor Central | Mediocampista Defensivo,33,Bueno,Ondrej Kúdela
Watford ,Northern Ireland,Defensor Central,31,Bueno,Craig Cathcart
RCD Mallorca ,Korea Republic,Mediocampista Defensivo | Mediocampista,31,Bueno,Ki Sung Yueng
D.C. United ,Norway,Delantero Centro | Extremo Izquierdo,30,Bueno,Ola Kamara
Fortuna Düsseldorf ,Germany,Delantero Centro,32,Bueno,Rouwen Hennings
Henan Jianye FC ,Brazil,Mediocampista,33,Bueno,Ivo
Borussia Mönchengladbach ,United States,Lateral Derecho | Lateral Izquierdo | Mediocampista Izquierdo,32,Bueno,Fabian Johnson
PAOK ,Sweden,Mediocampista Defensivo,34,Bueno,Pontus Wernbloom
AEK Athens ,Ukraine,Defensor Central,33,Bueno,Dmytro Chygrynskyi
Sporting Kansas City ,New Zealand,Defensor Central,32,Bueno,Winston Reid
Toronto FC ,United States,Delantero Centro,30,Bueno,Jozy Altidore
D. Alavés ,Spain,Delantero Centro,30,Bueno,Joselu
Cagliari ,Italy,Mediocampista Defensivo | Mediocampista,34,Bueno,Luca Cigarini
Brighton & Hove Albion ,England,Delantero Centro,36,Bueno,Glenn Murray
Milan ,Bosnia & Herzegovina,Arquero,33,Bueno,Asmir Begovic
Levante UD ,Spain,Lateral Derecho | Defensor Central | Mediocampista Derecho,33,Bueno,Coke
Deportivo Toluca ,Argentina,Defensor Central,35,Bueno,Jonatan Maidana
Besiktas JK ,Turkey,Lateral Izquierdo | Mediocampista Izquierdo,31,Bueno,Caner Erkin
Rayo Vallecano ,Spain,Mediocampista Defensivo | Mediocampista,33,Bueno,Mario Suárez
Universidad Católica ,Argentina,Mediocampista Ofensivo,32,Bueno,Diego Buonanotte
Tianjin TEDA FC ,Germany,Lateral Izquierdo | Defensor Central,32,Bueno,Felix Bastians
Crystal Palace ,Wales,Arquero,33,Bueno,Wayne Hennessey
West Ham United ,Republic of Ireland,Arquero,33,Bueno,Darren Randolph
FC Red Bull Salzburg ,Austria,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,34,Bueno,Andreas Ulmer
FC København ,Greece,Mediocampista,31,Bueno,Zeca
Al Ittihad ,Brazil,Arquero,33,Bueno,Marcelo Grohe
VfB Stuttgart ,Germany,Lateral Izquierdo | Mediocampista,33,Bueno,Gonzalo Castro
Al Taawoun ,Brazil,Arquero,39,Bueno,Cássio
Pachuca ,Argentina,Defensor Central,34,Bueno,Gustavo Cabral
Gençlerbirligi SK ,Benin,Mediocampista | Mediocampista Ofensivo,36,Bueno,Stéphane Sessègnon
Montpellier Hérault SC ,France,Defensor Central,35,Bueno,Daniel Congré
Royal Antwerp FC ,Turkey,Arquero,31,Bueno,Sinan Bolat
Genoa ,Switzerland,Mediocampista Defensivo | Mediocampista,35,Bueno,Valon Behrami
RCD Mallorca ,Spain,Mediocampista Defensivo | Mediocampista,36,Bueno,Salva Sevilla
Hamburger SV ,Germany,Mediocampista | Mediocampista Ofensivo,33,Bueno,Aaron Hunt
Cruz Azul ,Mexico,Arquero,39,Bueno,José de Jesús Corona
Toronto FC ,United States,Mediocampista Defensivo | Mediocampista,32,Bueno,Michael Bradley
Molde FK ,Norway,Mediocampista | Mediocampista Ofensivo,29,Bueno,Magnus Wolff Eikrem
Pachuca ,Argentina,Mediocampista Defensivo | Mediocampista Derecho | Mediocampista,36,Bueno,Rubens Sambueza
Inter ,England,Lateral Derecho | Mediocampista Derecho | Mediocampista Izquierdo,35,Bueno,Ashley Young
Burnley ,England,Arquero,33,Bueno,Joe Hart
Ajax ,Netherlands,Delantero Centro,36,Bueno,Klaas-Jan Huntelaar
Rio Ave FC ,Poland,Arquero,36,Bueno,Pawel Kieszek
Konyaspor ,Turkey,Arquero,35,Bueno,Serkan Kirintili
Club Atlético Banfield ,Argentina,Mediocampista | Mediocampista Ofensivo,36,Bueno,Jesús Dátolo
Villarreal CF ,Argentina,Arquero,36,Bueno,Mariano Barbosa
Monterrey ,Argentina,Arquero,36,Bueno,Marcelo Barovero
Cagliari ,Estonia,Defensor Central,34,Bueno,Ragnar Klavan
Chelsea ,Argentina,Arquero,38,Bueno,Willy Caballero
Watford ,Brazil,Arquero,39,Bueno,Gomes
Celtic ,Scotland,Mediocampista Defensivo,35,Bueno,Scott Brown
FC Girondins de Bordeaux ,France,Delantero Centro,34,Bueno,Jimmy Briand
FC Midtjylland ,Denmark,Arquero,35,Bueno,Jesper Hansen
Lazio ,Belgium,Arquero,37,Bueno,Silvio Proto
Guangzhou R&F FC ,Israel,Delantero Centro | Mediocampista Derecho | Mediocampista Ofensivo,27,Bueno,Dia Saba
PAOK ,Greece,Arquero,31,Bueno,Alexandros Paschalakis
PAOK ,Brazil,Lateral Derecho,27,Bueno,Rodrigo
D.C. United ,Germany,Carrilero Derecho | Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,26,Bueno,Julian Gressel
Amiens SC ,Iran,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,26,Bueno,Saman Ghoddos
Fiorentina ,Brazil,Lateral Izquierdo | Mediocampista Izquierdo,26,Bueno,Dalbert
U.N.A.M. ,Paraguay,Delantero Centro,27,Bueno,Carlos González
AS Saint-Étienne ,Peru,Lateral Izquierdo | Mediocampista Izquierdo,27,Bueno,Miguel Trauco
Club América ,Mexico,Delantero Centro | Extremo Derecho,27,Bueno,Henry Martín
Boavista FC ,Portugal,Carrilero Derecho | Extremo Derecho,27,Bueno,Carraça
Vancouver Whitecaps FC ,Iraq,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,26,Bueno,Ali Adnan
Holstein Kiel ,Korea Republic,Mediocampista | Mediocampista Ofensivo | Mediapunta,27,Bueno,Lee Jae Sung
Club Atlas ,Argentina,Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Luciano Acosta
RSC Anderlecht ,Jamaica,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,27,Bueno,Kemar Lawrence
SD Eibar ,Uruguay,Mediocampista Defensivo | Mediocampista Izquierdo | Mediocampista,26,Bueno,Sebastián Cristóforo
Rio Ave FC ,Portugal,Extremo Derecho | Extremo Izquierdo,26,Bueno,Carlos Mané
R. Zaragoza ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Burgui
San Lorenzo de Almagro ,Argentina,Mediocampista Izquierdo | Mediocampista | Extremo Izquierdo,27,Bueno,Juan Ramírez
Girona FC ,Colombia,Lateral Izquierdo | Mediocampista Izquierdo,27,Bueno,Johan Mojica
Club Atlas ,Argentina,Lateral Derecho | Defensor Central,29,Bueno,Martín Nervo
Leicester City ,Wales,Arquero,27,Bueno,Danny Ward
Millwall ,England,Mediocampista Derecho | Mediocampista Ofensivo,26,Bueno,Jed Wallace
Club Brugge KV ,Czech Republic,Delantero Centro,27,Bueno,Michael Krmencík
RSC Anderlecht ,Jamaica,Delantero Centro,27,Bueno,Kemar Roofe
River Plate ,Argentina,Defensor Central | Mediocampista Defensivo,27,Bueno,Bruno Zuculini
Sporting Charleroi ,Belgium,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Massimo Bruno
Preston North End ,Jamaica,Mediocampista Defensivo | Mediocampista Ofensivo,27,Bueno,Daniel Johnson
Middlesbrough ,England,Mediocampista | Mediocampista Ofensivo,27,Bueno,Ravel Morrison
SD Huesca ,Spain,Defensor Central,29,Bueno,Pulido
R. Sporting ,Spain,Arquero,30,Bueno,Diego Mariño
Fenerbahçe SK ,Turkey,Arquero,31,Bueno,Harun Tekin
Free Agents ,Australia,Defensor Central,28,Bueno,Trent Sainsbury
1. FSV Mainz 05 ,Germany,Defensor Central,28,Bueno,Stefan Bell
Brighton & Hove Albion ,England,Lateral Izquierdo | Defensor Central,28,Bueno,Dan Burn
Rosenborg BK ,Norway,Arquero,30,Bueno,André Hansen
FC København ,Sweden,Arquero,30,Bueno,Karl-Johan Johnsson
Leeds United ,Scotland,Defensor Central,28,Bueno,Liam Cooper
Club Necaxa ,Mexico,Arquero,29,Bueno,Hugo González
Club Atlético Lanús ,Argentina,Defensor Central,29,Bueno,Ezequiel Muñoz
KRC Genk ,Belgium,Defensor Central,29,Bueno,Sebastien Dewaest
RCD Espanyol ,Spain,Arquero,30,Bueno,Oier
Club Atlético Peñarol ,Uruguay,Defensor Central,26,Bueno,Rodrigo Abascal
Dynamo Kyiv ,Ukraine,Defensor Central,28,Bueno,Artem Shabanov
Norwich City ,Germany,Defensor Central,27,Bueno,Christoph Zimmermann
Vasco da Gama ,Brazil,Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Thio Rolim
Vasco da Gama ,Brazil,Defensor Central,20,Bueno,Teixe Gaúcho
Vasco da Gama ,Brazil,Lateral Izquierdo | Mediocampista,24,Bueno,Ramón da Almeyda
RCD Mallorca ,Spain,Defensor Central,28,Bueno,Raillo
Shanghai SIPG FC ,China PR,Arquero,29,Bueno,Yan Junling
Olympiacos CFP ,Greece,Mediocampista Defensivo | Mediocampista,27,Bueno,Andreas Bouchalakis
Fortuna Düsseldorf ,Germany,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,25,Bueno,Erik Thommy
Free Agents ,Ivory Coast,Defensor Central,27,Bueno,Wilfried Kanon
Getafe CF ,Spain,Lateral Izquierdo | Defensor Central,28,Bueno,Chema Rodríguez
1. FC Heidenheim 1846 ,Germany,Defensor Central,25,Bueno,Patrick Mainka
1. FC Nürnberg ,Germany,Arquero,28,Bueno,Christian Mathenia
Fortuna Düsseldorf ,Turkey,Delantero Centro | Mediocampista Izquierdo,26,Bueno,Kenan Karaman
Melbourne City ,Australia,Delantero Centro,27,Bueno,Jamie Maclaren
SK Rapid Wien ,Austria,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,25,Bueno,Thomas Murg
Alanyaspor ,Greece,Delantero Centro | Mediocampista Derecho | Mediocampista Ofensivo,27,Bueno,Anastasios Bakasetas
Cardiff City ,England,Mediocampista Defensivo | Mediocampista,26,Bueno,Joe Ralls
Torino ,Ivory Coast,Defensor Central,27,Bueno,Koffi Djidji
