Team,Nationality,Position,Age,Potential,Name
Olympique Lyonnais ,France,Mediocampista Izquierdo | Mediocampista,22,Muy Bueno,Houssem Aouar
RB Leipzig ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,22,Muy Bueno,Dani Olmo
RB Leipzig ,France,Defensor Central,21,Muy Bueno,Dayot Upamecano
Manchester City ,England,Mediocampista | Mediocampista Ofensivo,20,Muy Bueno,Phil Foden
Arsenal ,England,Lateral Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,18,Muy Bueno,Bukayo Saka
Manchester United ,England,Delantero Centro | Mediocampista Derecho,18,Muy Bueno,Mason Greenwood
UD Las Palmas ,Spain,Mediocampista Izquierdo | Mediocampista Ofensivo,17,Muy Bueno,Pedri
Liverpool ,Brazil,Mediapunta,28,Muy Bueno,Roberto Firmino
Manchester United ,Spain,Arquero,29,Muy Bueno,De Gea
FC Barcelona ,Spain,Mediocampista Defensivo,32,Muy Bueno,Sergio Busquets
Arsenal ,Gabon,Delantero Centro | Mediocampista Izquierdo,31,Muy Bueno,Pierre-Emerick Aubameyang
Real Madrid ,France,Delantero Centro | Mediapunta,32,Muy Bueno,Karim Benzema
Inter ,Slovenia,Arquero,36,Muy Bueno,Samir Handanovic
FC Barcelona ,Spain,Defensor Central,33,Muy Bueno,Piqué
Juventus ,Italy,Defensor Central,35,Muy Bueno,Giorgio Chiellini
Paris Saint-Germain ,Italy,Mediocampista Defensivo | Mediocampista,27,Muy Bueno,Marco Verratti
Manchester United ,France,Mediocampista Defensivo | Mediocampista,27,Muy Bueno,Paul Pogba
Juventus ,Poland,Arquero,30,Muy Bueno,Wojciech Szczesny
Liverpool ,Brazil,Mediocampista Defensivo,26,Muy Bueno,Fabinho
FC Barcelona ,France,Defensor Central,26,Muy Bueno,Samuel Umtiti
Leicester City ,Nigeria,Mediocampista Defensivo | Mediocampista,23,Muy Bueno,Wilfred Ndidi
FC Bayern München ,France,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,24,Muy Bueno,Kingsley Coman
Borussia Dortmund ,Germany,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,24,Muy Bueno,Julian Brandt
FC Bayern München ,Germany,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,25,Muy Bueno,Leon Goretzka
Roma ,Spain,Arquero,25,Muy Bueno,Pau López
Lazio ,lbania,Arquero,25,Muy Bueno,Thomas Strakosha
Tottenham Hotspur ,England,Mediocampista | Mediocampista Ofensivo,24,Muy Bueno,Dele Alli
SL Benfica ,Portugal,Defensor Central,23,Muy Bueno,Rúben Dias
Real Madrid ,Serbia,Delantero Centro,22,Muy Bueno,Luka Jovic
Manchester City ,Brazil,Delantero Centro,23,Muy Bueno,Gabriel Jesus
Valencia CF ,Portugal,Delantero Centro | Mediocampista Izquierdo,23,Muy Bueno,Gonçalo Guedes
Real Sociedad ,Norway,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,21,Muy Bueno,Martin Ødegaard
Real Madrid ,Brazil,Lateral Derecho | Defensor Central,22,Muy Bueno,Éder Militão
Everton ,Brazil,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,23,Muy Bueno,Richarlison
Bayer 04 Leverkusen ,Jamaica,Mediocampista Derecho | Mediocampista Izquierdo,22,Muy Bueno,Leon Bailey
Tottenham Hotspur ,France,Mediocampista Defensivo | Mediocampista,23,Muy Bueno,Tanguy Ndombele
Inter ,Italy,Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Nicolò Barella
Valencia CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediapunta,20,Muy Bueno,Ferrán Torres
Getafe CF ,Spain,Lateral Izquierdo | Mediocampista Izquierdo,22,Muy Bueno,Cucurella
RB Leipzig ,France,Defensor Central,21,Muy Bueno,Ibrahima Konaté
Watford ,Senegal,Mediocampista Derecho | Mediocampista Izquierdo,22,Muy Bueno,Ismaïla Sarr
LOSC Lille ,Nigeria,Delantero Centro,21,Muy Bueno,Victor Osimhen
Bayer 04 Leverkusen ,Argentina,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,21,Muy Bueno,Exequiel Palacios
KAA Gent ,Canada,Delantero Centro | Mediocampista Ofensivo,20,Muy Bueno,Jonathan David
FC Bayern München ,Canada,Lateral Izquierdo | Mediocampista Derecho | Mediocampista Izquierdo,19,Muy Bueno,Alphonso Davies
PSV ,Netherlands,Mediocampista Ofensivo | Extremo Derecho,18,Muy Bueno,Mohamed Ihattaren
Bologna ,Argentina,Mediocampista Defensivo | Mediocampista,22,Muy Bueno,Nicolás Domínguez
SC Braga ,Portugal,Extremo Derecho | Extremo Izquierdo,20,Muy Bueno,Francisco Trincão
AS Saint-Étienne ,France,Defensor Central,19,Muy Bueno,William Saliba
AZ ,Netherlands,Delantero Centro,19,Muy Bueno,Myron Boadu
Arsenal ,Brazil,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,19,Muy Bueno,Gabriel Martinelli
Sparta Praha ,Czech Republic,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,18,Muy Bueno,Adam Hlozek
Vélez Sarsfield ,Argentina,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,19,Muy Bueno,Thiago Almada
Chelsea ,England,Extremo Derecho | Extremo Izquierdo,19,Muy Bueno,Callum Hudson-Odoi
Tottenham Hotspur ,Korea Republic,Mediocampista Izquierdo | Mediapunta,28,Muy Bueno,Heung Min Son
Paris Saint-Germain ,Costa Rica,Arquero,33,Muy Bueno,Keylor Navas
Lazio ,Italy,Delantero Centro,30,Muy Bueno,Ciro Immobile
Inter ,Denmark,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,28,Muy Bueno,Christian Eriksen
Valencia CF ,Spain,Mediocampista,31,Muy Bueno,Parejo
Borussia Dortmund ,Germany,Mediocampista Ofensivo | Mediapunta,31,Muy Bueno,Marco Reus
Paris Saint-Germain ,Argentina,Extremo Derecho | Extremo Izquierdo,32,Muy Bueno,Ángel Di María
Inter ,Uruguay,Defensor Central,34,Muy Bueno,Diego Godín
Borussia Dortmund ,Germany,Defensor Central,31,Muy Bueno,Mats Hummels
Napoli ,Belgium,Delantero Centro | Mediapunta,33,Muy Bueno,Dries Mertens
Manchester City ,Spain,Mediocampista | Mediocampista Ofensivo,34,Muy Bueno,David Silva
Tottenham Hotspur ,France,Arquero,33,Muy Bueno,Hugo Lloris
Paris Saint-Germain ,Brazil,Defensor Central,35,Muy Bueno,Thiago Silva
Ajax ,Morocco,Mediocampista Ofensivo | Extremo Derecho,27,Muy Bueno,Hakim Ziyech
Paris Saint-Germain ,Argentina,Delantero Centro,27,Muy Bueno,Mauro Icardi
Inter ,Belgium,Delantero Centro,27,Muy Bueno,Romelu Lukaku
Real Betis ,France,Delantero Centro | Mediocampista Derecho | Mediocampista Ofensivo,27,Muy Bueno,Nabil Fekir
FC Bayern München ,Germany,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,25,Muy Bueno,Serge Gnabry
Arsenal ,Germany,Arquero,28,Muy Bueno,Bernd Leno
Atlético Madrid ,Ghana,Mediocampista Defensivo | Mediocampista,27,Muy Bueno,Thomas Partey
Chelsea ,Croatia,Mediocampista,26,Muy Bueno,Mateo Kovacic
Olympique Lyonnais ,Netherlands,Mediocampista Ofensivo | Mediapunta | Extremo Izquierdo,26,Muy Bueno,Memphis Depay
Ajax ,Netherlands,Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Donny van de Beek
Manchester United ,France,Delantero Centro,24,Muy Bueno,Anthony Martial
SL Benfica ,Spain,Lateral Izquierdo,24,Muy Bueno,Grimaldo
Chelsea ,Spain,Arquero,25,Muy Bueno,Kepa
Borussia Dortmund ,Morocco,Lateral Derecho | Lateral Izquierdo | Mediocampista Derecho,21,Muy Bueno,Achraf Hakimi
Tottenham Hotspur ,Argentina,Mediocampista | Mediocampista Ofensivo,24,Muy Bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Mediocampista Derecho | Extremo Derecho,25,Muy Bueno,Nicolas Pépé
Tottenham Hotspur ,Netherlands,Mediocampista Ofensivo | Extremo Derecho | Extremo Izquierdo,22,Muy Bueno,Steven Bergwijn
Wolverhampton Wanderers ,Portugal,Mediocampista,23,Muy Bueno,Rúben Neves
Leicester City ,England,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,23,Muy Bueno,James Maddison
Valencia CF ,Uruguay,Delantero Centro,23,Muy Bueno,Maximiliano Gómez
Atlético Madrid ,Spain,Defensor Central,25,Muy Bueno,Mario Hermoso
Leicester City ,Belgium,Mediocampista,23,Muy Bueno,Youri Tielemans
Cagliari ,Italy,Arquero,26,Muy Bueno,Alessio Cragno
Sevilla FC ,Spain,Lateral Izquierdo | Mediocampista Izquierdo,23,Muy Bueno,Reguilón
Juventus ,Uruguay,Mediocampista,23,Muy Bueno,Rodrigo Bentancur
Sporting CP ,Brazil,Mediocampista,22,Muy Bueno,Wendel
Sheffield United ,England,Arquero,23,Muy Bueno,Dean Henderson
Chelsea ,England,Mediocampista | Mediocampista Ofensivo | Extremo Derecho,21,Muy Bueno,Mason Mount
FC Nantes ,France,Arquero,21,Muy Bueno,Alban Lafont
Sheffield United ,Norway,Mediocampista Defensivo | Mediocampista,22,Muy Bueno,Sander Berge
Bayer 04 Leverkusen ,France,Mediocampista Izquierdo,21,Muy Bueno,Moussa Diaby
Olympique de Marseille ,France,Defensor Central | Mediocampista Defensivo,20,Muy Bueno,Boubacar Kamara
Lazio ,Brazil,Defensor Central,23,Muy Bueno,Luiz Felipe
Napoli ,Italy,Arquero,23,Muy Bueno,Alex Meret
Olympique Lyonnais ,Brazil,Mediocampista Defensivo | Mediocampista,22,Muy Bueno,Bruno Guimarães
Roma ,Italy,Mediocampista Derecho | Mediocampista Ofensivo,21,Muy Bueno,Nicolò Zaniolo
Sampdoria ,Italy,Arquero,23,Muy Bueno,Emil Audero
R. Oviedo ,Ukraine,Arquero,21,Muy Bueno,Andriy Lunin
Chelsea ,England,Lateral Derecho | Mediocampista Defensivo,20,Muy Bueno,Reece James
FC Red Bull Salzburg ,Hungary,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,19,Muy Bueno,Dominik Szoboszlai
Aston Villa ,Brazil,Mediocampista Defensivo | Mediocampista,22,Muy Bueno,Douglas Luiz
FC Porto ,Portugal,Mediocampista Derecho | Mediocampista Ofensivo,20,Muy Bueno,Romário Baró
